date,title,content
2025-08-30,"Quantbot Technologies LP Raises Stock Holdings in Tootsie Roll Industries, Inc. $TR","Quantbot Technologies LP increased its position in Tootsie Roll Industries, Inc. (NYSE:TR – Free Report) by 105.5% during the 1st quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 2,…"
2025-08-30,Pioneer Trust Bank N A OR Cuts Holdings in Apple Inc. $AAPL,"Pioneer Trust Bank N A OR lowered its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.7% in the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 117,487 shares of the iPhone maker’s stock after selling 1,979 shares …"
2025-08-30,Fortress Financial Solutions LLC Increases Stake in Apple Inc. $AAPL,"Fortress Financial Solutions LLC increased its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 4.3% in the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 17,422 shares of the iP…"
2025-08-30,"Cohen Capital Management Inc. Sells 2,100 Shares of Apple Inc. $AAPL","Cohen Capital Management Inc. cut its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 16.1% during the 1st quarter, HoldingsChannel.com reports. The institutional investor owned 10,905 shares of the iPhone maker’s stock after selling 2,100 shares during…"
2025-08-30,Trail Ridge Investment Advisors LLC Trims Stake in Apple Inc. $AAPL,"Trail Ridge Investment Advisors LLC cut its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 6.5% during the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 53,636 shares of…"
2025-08-30,Apple Inc. $AAPL is Sigma Planning Corp’s 2nd Largest Position,"Sigma Planning Corp boosted its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.1% in the first quarter, according to its most recent filing with the SEC. The institutional investor owned 694,515 shares of the iPhone maker’s stock after buying an addi…"
2025-08-30,"Charles Schwab Investment Management Inc. Acquires 2,652 Shares of Tootsie Roll Industries, Inc. $TR","Charles Schwab Investment Management Inc. raised its position in shares of Tootsie Roll Industries, Inc. (NYSE:TR – Free Report) by 2.5% in the first quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. Th…"
2025-08-30,Best Retail Stocks To Watch Now – August 28th,"Tesla, Walgreens Boots Alliance, Apple, Amazon.com, Microsoft, UnitedHealth Group, and Micron Technology are the seven Retail stocks to watch today, according to MarketBeat’s stock screener tool. Retail stocks are shares of publicly traded companies whose pri…"
2025-08-30,Warren Buffett turns 95 today. 10 of his biggest investing lessons.,Berkshire Hathaway’s CEO is marking a milestone. These takeaways from his long career are worth considering.
2025-08-29,"Apple Inc. (AAPL): The AI “Will Come Into Play Soon,” Says Jim Cramer",We recently published Jim Cramer Said AI Is A “Souped-Up Google” As He Discussed These 11 Stocks. Apple Inc. (NASDAQ:AAPL) is one of the stocks Jim Cramer...
2025-08-29,Apple will be one of the top two performing ‘Mag 7s’ over the next year – Gene Munster,"Gene Munster makes a bold prediction: Apple will rank among the top two performers of the “Magnificent Seven” tech giants over the next year…
The post Apple will be one of the top two performing ‘Mag 7s’ over the next year – Gene Munster appeared first on Mac…"
2025-08-29,"The Roborock Q8 Max Is Cheaper Than AirPods, While Amazon Finishes Selling Its Leftover Stock","The Roborock Q8 Max Is Cheaper Than AirPods, While Amazon Finishes Selling Its Leftover Stockgizmodo.com"
2025-08-29,Hardware Flaw in Apple A16 Chip: Debug Logic Active on Production Devices,"This repository discloses a critical vulnerability in Apple’s A16 Bionic chip, where debug logic is executed on production-fused devices (dev-fused=0, debug=0x0). Logs show SecureROM and co-process..."
2025-08-29,Are AI and Democracy Compatible?,Avoiding digital dictatorship may mean rethinking our relationship with machines.
2025-08-29,"Save $500 on Luckeep’s C23 two-seater e-bike at new $499 low, Aventon Aventure 2 e-bike at $1,499 annual low, LG, Schumacher, more","We’re closing out the week’s Green Deals with a jam-packed edition filled with some great savings opportunities through Labor Day weekend. Our headliner is Luckeep’s C23 Folding Step-Through Two-Seater e-bike that has fallen to a new $499 low, with it followe…"
2025-08-29,Musk's xAI sues engineer for allegedly taking secrets to OpenAI,"Elon Musk's xAI has filed a lawsuit against a former engineer, Xuechen Li. The lawsuit alleges Li stole confidential information related to the Grok chatbot. xAI claims Li took the secrets to OpenAI after accepting a job there. The company seeks monetary dama…"
2025-08-29,Musk's xAI sues engineer for allegedly taking secrets to OpenAI,Elon Musk's artificial intelligence startup xAI has sued a former engineer at the company for allegedly stealing trade secrets related to its Grok chatbot and taking them to rival OpenAI.Musk's company said in the complaint filed on Thursday in California fed…
2025-08-29,Musk's xAI sues engineer for allegedly taking secrets to OpenAI,(Reuters) -Elon Musk's artificial intelligence startup xAI has sued a former engineer at the company for allegedly stealing trade secrets related to its Grok...
2025-08-29,A Look Into Apple Inc's Price Over Earnings,"In the current session, the stock is trading at $232.80, after a 0.10% spike. Over the past month, Apple Inc. (NASDAQ:AAPL) stock increased by 15.03%, and in the past year, by 4.50%. With performance like this, long-term shareholders are optimistic but others…"
2025-08-29,Is Apple Stock a Buy Now?,"Key Points
-
Apple's recent quarterly results made it clear that AI is having a positive impact on its business.
-
The rollout of more Apple Intelligence features and the company's aggressive AI investments will be tailwinds for the stock in the long run.
-
A…"
